username,prize,round2 username
BigDobs,$5 Store Credit,
Schmoe,$10 Store Credit,
DangerSC,$5 Store Credit,
Newlin99,$5 Store Credit,
mattcook,$10 Store Credit,
Guvv,$5 Store Credit,
Mvenekam,$5 Store Credit,
Jalbo1,$2500 USDC,
bmw1909,$10 Store Credit,
MetaJungle,$10 Store Credit,
Ronfresco,$5 Store Credit,
Billcot,$5 Store Credit,
MetaJungle,$5 Store Credit,
Chicagows213,$5 Store Credit,
MetaJungle,$5 Store Credit,dfeog
Roux1310,$5 Store Credit,
Patelh121,$5 Store Credit,
JohnnyClutchCards,$5 Store Credit,
MetaJungle,$5 Store Credit,
AlphaBlok,$10 Store Credit,
floreski,$5 Store Credit,
cookiemonster,$10 Store Credit,
mattcook,$25 Store Credit,
AlphaBlok,$10 Store Credit,
accordingtohen,$5 Store Credit,
mattcook,$10 Store Credit,
Mikeyj10,$5 Store Credit,
Xheryk,$5 Store Credit,
Patelh121,$10 Store Credit,
Eldun,$5 Store Credit,
BigDobs,$25 Store Credit,
Patelh121,$10 Store Credit,
Schmoe,$10 Store Credit,
jbbasics,$25 Store Credit,
Jjmccann2121,$5 Store Credit,
MetaJungle,$25 Store Credit,
Bjamps,$5 Store Credit,
MetaJungle,$25 Store Credit,
mattcook,$25 Store Credit,
Ronfresco,$25 Store Credit,
MetaJungle,$5 Store Credit,
Titomachado,$5 Store Credit,
MetaJungle,$10 Store Credit,
Coloradoboy2,$5 Store Credit,
mattcook,$5 Store Credit,
jenndunn12m,$25 Store Credit,
MetaJungle,$150 USDC,
EsotericPA,$5 Store Credit,
MetaJungle,$5 Store Credit,
AlphaBlok,$5 Store Credit,smashngrab77
mattcook,$10 Store Credit,
PhillyWill,$5 Store Credit,
jdbeltz,$10 Store Credit,
SDYote,$10 Store Credit,
Centerpiece,$10 Store Credit,
MetaJungle,$5 Store Credit,
Patelh121,$5 Store Credit,
Johnnykpoker,$25 Store Credit,
FlyingNinja,$10 Store Credit,
BigDobs,$5 Store Credit,
eZe-E312,$10 Store Credit,
Bjamps,$5 Store Credit,
ginobili_fan,$5 Store Credit,
Billcot,$5 Store Credit,
BigDobs,$5 Store Credit,
bpfergu,$10 Store Credit,
MetaJungle,$5 Store Credit,smashngrab77
bpfergu,$10 Store Credit,smashngrab77
MetaJungle,$5 Store Credit,
Schmoe,$5 Store Credit,
MetaJungle,$5 Store Credit,
MetaJungle,$5 Store Credit,
eZe-E312,$25 Store Credit,
iiiericiii,$10 Store Credit,
Roux1310,$5 Store Credit,
mjzastrow1,$5 Store Credit,
AlphaBlok,$10 Store Credit,
0000,$10 Store Credit,
Bjamps,$5 Store Credit,
jenndunn12m,$5 Store Credit,
bmw1909,$5 Store Credit,
Patelh121,$5 Store Credit,
Omgiwon,$5 Store Credit,
Roux1310,$5 Store Credit,subhubgrading
cph626,$5 Store Credit,
TheStranger,$5 Store Credit,
Patelh121,$25 Store Credit,
Xheryk,$5 Store Credit,
autom8ed,$10 Store Credit,
Xheryk,$10 Store Credit,
Aaron,$5 Store Credit,
SDYote,$5 Store Credit,
wisrhino,$5 Store Credit,
MetaJungle,$25 Store Credit,
cph626,$5 Store Credit,
Crispjb,$5 Store Credit,
accordingtohen,$5 Store Credit,
Ronfresco,$5 Store Credit,
Madvolker,$5 Store Credit,
Omgiwon,$5 Store Credit,
MetaJungle,$5 Store Credit,mjno23goat
Madvolker,$5 Store Credit,
bpfergu,$5 Store Credit,davidpatrick08
Ronfresco,$10 Store Credit,
Guvv,$10 Store Credit,
Bjamps,$5 Store Credit,
Jimmys75,$5 Store Credit,
Ronfresco,$5 Store Credit,
MetaJungle,$5 Store Credit,
Charlotteann,$5 Store Credit,
Omgiwon,$5 Store Credit,
Xheryk,$5 Store Credit,
Schmoe,$10 Store Credit,
MetaJungle,$5 Store Credit,
Jeffslugs,$5 Store Credit,
mambaout,$10 Store Credit,
cryptoblogger,$5 Store Credit,
jdbeltz,$5 Store Credit,
cph626,$5 Store Credit,
mjzastrow1,$25 Store Credit,
SDYote,$5 Store Credit,
MetaJungle,$25 Store Credit,
MetaJungle,$125 USDC,
cryptoblogger,$10 Store Credit,
bpfergu,$5 Store Credit,
Xheryk,$5 Store Credit,davidpatrick08
jmyers81,$5 Store Credit,
Schmoe,$10 Store Credit,
Robertk,$5 Store Credit,
Roux1310,$5 Store Credit,
MetaJungle,$10 Store Credit,
MetaJungle,$5 Store Credit,
AlphaBlok,$10 Store Credit,
Ronfresco,$5 Store Credit,
MetaJungle,$5 Store Credit,
MetaJungle,$5 Store Credit,
AlphaBlok,$5 Store Credit,
Bsusko,$500 USDC,
MetaJungle,$25 Store Credit,
Andrewgarrett41,$5 Store Credit,
jenndunn12m,$5 Store Credit,
deleonlakers2000,$5 Store Credit,
MetaJungle,$5 Store Credit,
cph626,$5 Store Credit,
Xheryk,$10 Store Credit,smashngrab77
Bjamps,$5 Store Credit,
Donk3ykong81,$10 Store Credit,
AlphaBlok,$5 Store Credit,
Jjmccann2121,$10 Store Credit,
mattcook,$5 Store Credit,
MetaJungle,$5 Store Credit,
Patelh121,$5 Store Credit,
Ronfresco,$10 Store Credit,
sheltronica,$25 Store Credit,
MetaJungle,$5 Store Credit,
ghedoicy,$10 Store Credit,galileo
jenndunn12m,$5 Store Credit,
Madvolker,$10 Store Credit,
JohnnyClutchCards,$10 Store Credit,
DangerSC,$5 Store Credit,
cph626,$5 Store Credit,
Patelh121,$25 Store Credit,
cryptoblogger,$5 Store Credit,
Uahjames,$25 Store Credit,
LandoLakes,$5 Store Credit,
MetaJungle,$10 Store Credit,
Bjamps,$5 Store Credit,
Bjamps,$5 Store Credit,
cph626,$5 Store Credit,
Omgiwon,$10 Store Credit,
heffery,$5 Store Credit,
AlphaBlok,$5 Store Credit,
davejr81,$5 Store Credit,
bmw1909,$5 Store Credit,
Bjamps,$10 Store Credit,
AlphaBlok,$5 Store Credit,
heffery,$10 Store Credit,
MetaJungle,$10 Store Credit,
