username,prize
patelh121,2018 Topps Living Gleyber Torres - PSA 10 (Cert: 41334077)
alphablok,2018 Topps Living Brad Peacock - PSA 10 (Cert: 41334207)
cph626,2018 Topps Living Rickey Henderson - PSA 10 (Cert: 41298983)
viking91107,2018 Topps Living Dereck Rodriguez - PSA 10 (Cert: 42024231)
metajungle,2018 Topps Living Bo Jackson - PSA 10 (Cert: 41654881)
schmoe,2018 Topps Living Joe Panik - PSA 10 (Cert: 41027111)
cph626,2018 Topps Living Christian Yelich - PSA 10 (Cert: 42261843)
metajungle,2018 Topps Living Dustin Fowler - PSA 10 (Cert: 41754127)
mattcook,2018 Topps Living Jean Segura - PSA 10 (Cert: 41224595)
metajungle,2018 Topps Living Christian Villanueva - PSA 10 (Cert: 41889976)
balward,2018 Topps Living David Bote - PSA 10 (Cert: 42130820)
alphablok,2018 Topps Living Brandon Morrow - PSA 10 (Cert: 41331885)
alphablok,2018 Topps Living Victor Robles - PSA 10 (Cert: 41647281)
billcot,2018 Topps Living Andrew Benintendi - PSA 10 (Cert: 41830459)
deleonlakers2000,2018 Topps Living Scott Kingery - PSA 10 (Cert: 41421360)
2048,2018 Topps Living Jacob DeGrom - PSA 10 (Cert: 41647285)
mattcook,2018 Topps Living Jake Arrieta - PSA 10 (Cert: 42024220)
xheryk,2018 Topps Living Aaron Judge - PSA 10 (Cert: 41191564)
titomachado,2018 Topps Living Pat Neshek - PSA 10 (Cert: 41520061)
danielblakely,2018 Topps Living Jose Ramirez - PSA 10 (Cert: 41334060)
patelh121,2018 Topps Living Ronald Acuna Jr. - PSA 10 (Cert: 41298849)
xheryk,2018 Topps Living Jordan Hicks - PSA 10 (Cert: 41334296)
omgiwon,2018 Topps Living Jose Altuve - PSA 10 (Cert: 41224607)
randorino99,2018 Topps Living Austin Meadows - PSA 10 (Cert: 41873089)
mgmonaco11,2018 Topps Living Kevin Pillar - PSA 10 (Cert: 41334301)
dhoovey,2018 Topps Living Joey Votto - PSA 10 (Cert: 42130861)
ghedoicy,2018 Topps Living Juan Soto - PSA 10 (Cert: 41334181)
alphablok,2018 Topps Living A.J. Pollock - PSA 10 (Cert: 41195760)
radishkabal6,2018 Topps Living Nick Castellanos - PSA 10 (Cert: 40978615)
byuofu,2018 Topps Living Lourdes Gurriel Jr. - PSA 10 (Cert: 42065267)
metajungle,2018 Topps Living Jose Berrios - PSA 10 (Cert: 41104019)
esotericpa,2018 Topps Living Jackie Robinson - PSA 10 (Cert: 41896210)
dangersc,2018 Topps Living Albert Pujols - PSA 10 (Cert: 41334063)
yop7,2018 Topps Living Joe Mauer - PSA 10 (Cert: 42281591)
netbe171,2018 Topps Living Trevor Story - PSA 10 (Cert: 42130832)
metajungle,2018 Topps Living Yasiel Puig - PSA 10 (Cert: 41754123)
alphablok,2018 Topps Living Ryen Sandberg - PSA 10 (Cert: 41520100)
titomachado,2018 Topps Living Matt Olson - PSA 10 (Cert: 41334061)
infininight,2018 Topps Living Dominic Smith - PSA 10 (Cert: 42261930)
metajungle,2018 Topps Living Hank Aaron - PSA 10 (Cert: 41334283)
niftymetagirl,2018 Topps Living Chase Headley - PSA 10 (Cert: 41519958)
bjamps,2018 Topps Living Babe Ruth - PSA 10 (Cert: 42237517)
cryptoblogger,2018 Topps Living Jack Flaherty - PSA 10 (Cert: 42138395)
mjno23goat,2018 Topps Living Chris Sale - PSA 10 (Cert: 42261979)
metajungle,2018 Topps Living Willy Adames - PSA 10 (Cert: 41520125)
alphablok,2018 Topps Living Max Scherzer - PSA 10 (Cert: 41964001)
balward,2018 Topps Living Chris Taylor - PSA 10 (Cert: 41266077)
jenndunn12m,2018 Topps Living Don Mattingly - PSA 10 (Cert: 42181030)
mattcook,2018 Topps Living Jordy Mercer - PSA 10 (Cert: 41224735)
viking91107,2018 Topps Living Francisco Lindor - PSA 10 (Cert: 41873061)
patelh121,2018 Topps Living Manny Machado - PSA 10 (Cert: 42434993)
leighham,2018 Topps Living Cody Bellinger - PSA 10 (Cert: 41693433)
metajungle,2018 Topps Living Ichiro Suzuki - PSA 10 (Cert: 41298914)
bjamps,2018 Topps Living David Wright - PSA 10 (Cert: 42112699)
